Collection,Organisation type,Organisation code,Organisation name,PHE Centre,STP,Year,Month,Metric,Figure,Data signed off,Data changed since last publication?
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,4,Community-onset,4,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,4,"Community-onset, community associated",3,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,4,"Community-onset, healthcare associated",1,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,4,Hospital-onset,2,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,4,"Hospital-onset, healthcare associated",2,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,4,No information,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,4,Total cases,6,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,4,Unknown 3 months,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,5,Community-onset,10,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,5,"Community-onset, community associated",8,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,5,"Community-onset, healthcare associated",2,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,5,Hospital-onset,2,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,5,"Hospital-onset, healthcare associated",2,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,5,No information,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,5,Total cases,12,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,5,Unknown 3 months,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,6,Community-onset,4,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,6,"Community-onset, community associated",3,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,6,"Community-onset, healthcare associated",1,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,6,Hospital-onset,3,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,6,"Hospital-onset, healthcare associated",3,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,6,No information,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,6,Total cases,7,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,6,Unknown 3 months,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,7,Community-onset,7,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,7,"Community-onset, community associated",6,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,7,"Community-onset, healthcare associated",1,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,7,Hospital-onset,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,7,"Hospital-onset, healthcare associated",0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,7,No information,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,7,Total cases,7,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,7,Unknown 3 months,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,8,Community-onset,11,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,8,"Community-onset, community associated",6,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,8,"Community-onset, healthcare associated",5,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,8,Hospital-onset,1,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,8,"Hospital-onset, healthcare associated",1,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,8,No information,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,8,Total cases,12,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,8,Unknown 3 months,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,9,Community-onset,7,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,9,"Community-onset, community associated",6,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,9,"Community-onset, healthcare associated",1,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,9,Hospital-onset,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,9,"Hospital-onset, healthcare associated",0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,9,No information,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,9,Total cases,7,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,9,Unknown 3 months,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,10,Community-onset,7,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,10,"Community-onset, community associated",6,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,10,"Community-onset, healthcare associated",1,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,10,Hospital-onset,3,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,10,"Hospital-onset, healthcare associated",3,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,10,No information,0,N/A,No
