,,,,Feb-18,,,Mar-18,,,Apr-18,,,May-18,,,Jun-18,,,Jul-18,,,Aug-18,,,Sep-18,,,Oct-18,,,Nov-18,,,Dec-18,,,Jan-19,,,Feb-19,,
Trust Code,Trust Type,PHE Centre,Trust Name,Total Reported Cases,Hospital Onset Cases,Community Onset Cases,Total Reported Cases,Hospital Onset Cases,Community Onset Cases,Total Reported Cases,Hospital Onset Cases,Community Onset Cases,Total Reported Cases,Hospital Onset Cases,Community Onset Cases,Total Reported Cases,Hospital Onset Cases,Community Onset Cases,Total Reported Cases,Hospital Onset Cases,Community Onset Cases,Total Reported Cases,Hospital Onset Cases,Community Onset Cases,Total Reported Cases,Hospital Onset Cases,Community Onset Cases,Total Reported Cases,Hospital Onset Cases,Community Onset Cases,Total Reported Cases,Hospital Onset Cases,Community Onset Cases,Total Reported Cases,Hospital Onset Cases,Community Onset Cases,Total Reported Cases,Hospital Onset Cases,Community Onset Cases,Total Reported Cases,Hospital Onset Cases,Community Onset Cases
REM,FT,North West,Aintree University Hospital,22,7,15,25,2,23,26,11,15,30,8,22,35,10,25,35,9,26,27,8,19,33,6,27,30,6,24,25,6,19,28,6,22,30,5,25,34,7,27
RCF,FT,Yorkshire and Humber,Airedale,10,0,10,20,3,17,24,2,22,12,2,10,14,1,13,10,0,10,17,1,16,11,1,10,18,0,18,13,1,12,11,3,8,11,1,10,16,3,13
RBS,FT,North West,Alder Hey Children's,3,1,2,1,0,1,2,1,1,2,0,2,1,0,1,1,0,1,1,0,1,2,1,1,2,1,1,2,1,1,5,2,3,0,0,0,0,0,0
RTK,FT,South East,Ashford & St Peter's Hospitals,15,2,13,13,2,11,14,1,13,17,2,15,26,4,22,18,4,14,21,1,20,22,4,18,17,1,16,14,2,12,29,5,24,20,2,18,28,2,26
RF4,--,London,"Barking, Havering & Redbridge University Hospitals",44,6,38,42,8,34,29,7,22,50,11,39,40,8,32,50,6,44,37,5,32,32,5,27,37,4,33,48,14,34,31,7,24,37,8,29,26,4,22
RFF,FT,Yorkshire and Humber,Barnsley Hospital,17,2,15,14,4,10,18,5,13,9,0,9,22,4,18,23,2,21,15,1,14,16,3,13,21,5,16,16,3,13,6,0,6,16,3,13,17,4,13
R1H,--,London,Barts Health,45,8,37,68,14,54,47,10,37,62,8,54,62,14,48,56,14,42,62,13,49,59,13,46,53,13,40,62,11,51,49,7,42,51,15,36,51,13,38
RDD,FT,East of England,Basildon & Thurrock University Hospitals,21,4,17,22,5,17,22,3,19,22,1,21,22,5,17,33,3,30,29,3,26,26,6,20,19,4,15,16,4,12,27,2,25,13,2,11,26,3,23
RC1,--,East of England,Bedford Hospital,17,1,16,18,2,16,12,2,10,10,2,8,11,1,10,17,1,16,22,1,21,20,4,16,6,1,5,11,0,11,11,1,10,6,1,5,14,1,13
