Collection,Organisation type,Organisation code,Organisation name,PHE Centre,STP,Year,Month,Metric,Figure,Data signed off,Data changed since last publication?
E. coli,National,ENG, England,England,England,2019,4,Total cases,3556,N/A,N/A
E. coli,National,ENG, England,England,England,2019,5,Total cases,3779,N/A,N/A
E. coli,National,ENG, England,England,England,2019,6,Total cases,3626,N/A,N/A
E. coli,National,ENG, England,England,England,2019,7,Total cases,3949,N/A,N/A
E. coli,National,ENG, England,England,England,2019,8,Total cases,4165,N/A,N/A
E. coli,National,ENG, England,England,England,2019,9,Total cases,3707,N/A,N/A
E. coli,National,ENG, England,England,England,2019,10,Total cases,3805,N/A,N/A
E. coli,National,ENG, England,England,England,2019,11,Total cases,3457,N/A,N/A
E. coli,National,ENG, England,England,England,2019,12,Total cases,3424,N/A,N/A
E. coli,National,ENG, England,England,England,2020,1,Total cases,3616,N/A,N/A
E. coli,National,ENG, England,England,England,2020,2,Total cases,3272,N/A,N/A
E. coli,National,ENG, England,England,England,2020,3,Total cases,3013,N/A,N/A
E. coli,National,ENG, England,England,England,2019,4,"Community-onset, community associated",1701,N/A,N/A
E. coli,National,ENG, England,England,England,2019,5,"Community-onset, community associated",1842,N/A,N/A
E. coli,National,ENG, England,England,England,2019,6,"Community-onset, community associated",1807,N/A,N/A
E. coli,National,ENG, England,England,England,2019,7,"Community-onset, community associated",1954,N/A,N/A
E. coli,National,ENG, England,England,England,2019,8,"Community-onset, community associated",2097,N/A,N/A
E. coli,National,ENG, England,England,England,2019,9,"Community-onset, community associated",1863,N/A,N/A
E. coli,National,ENG, England,England,England,2019,10,"Community-onset, community associated",2343,N/A,N/A
E. coli,National,ENG, England,England,England,2019,11,"Community-onset, community associated",2213,N/A,N/A
E. coli,National,ENG, England,England,England,2019,12,"Community-onset, community associated",2165,N/A,N/A
E. coli,National,ENG, England,England,England,2020,1,"Community-onset, community associated",2350,N/A,N/A
E. coli,National,ENG, England,England,England,2020,2,"Community-onset, community associated",2053,N/A,N/A
E. coli,National,ENG, England,England,England,2020,3,"Community-onset, community associated",1951,N/A,N/A
E. coli,National,ENG, England,England,England,2019,4,"Community-onset, healthcare associated",415,N/A,N/A
E. coli,National,ENG, England,England,England,2019,5,"Community-onset, healthcare associated",391,N/A,N/A
E. coli,National,ENG, England,England,England,2019,6,"Community-onset, healthcare associated",370,N/A,N/A
E. coli,National,ENG, England,England,England,2019,7,"Community-onset, healthcare associated",447,N/A,N/A
E. coli,National,ENG, England,England,England,2019,8,"Community-onset, healthcare associated",458,N/A,N/A
E. coli,National,ENG, England,England,England,2019,9,"Community-onset, healthcare associated",398,N/A,N/A
E. coli,National,ENG, England,England,England,2019,10,"Community-onset, healthcare associated",541,N/A,N/A
E. coli,National,ENG, England,England,England,2019,11,"Community-onset, healthcare associated",503,N/A,N/A
E. coli,National,ENG, England,England,England,2019,12,"Community-onset, healthcare associated",555,N/A,N/A
E. coli,National,ENG, England,England,England,2020,1,"Community-onset, healthcare associated",531,N/A,N/A
E. coli,National,ENG, England,England,England,2020,2,"Community-onset, healthcare associated",503,N/A,N/A
E. coli,National,ENG, England,England,England,2020,3,"Community-onset, healthcare associated",439,N/A,N/A
E. coli,National,ENG, England,England,England,2019,4,No information,801,N/A,N/A
E. coli,National,ENG, England,England,England,2019,5,No information,865,N/A,N/A
E. coli,National,ENG, England,England,England,2019,6,No information,821,N/A,N/A
E. coli,National,ENG, England,England,England,2019,7,No information,865,N/A,N/A
E. coli,National,ENG, England,England,England,2019,8,No information,925,N/A,N/A
E. coli,National,ENG, England,England,England,2019,9,No information,755,N/A,N/A
E. coli,National,ENG, England,England,England,2019,10,No information,121,N/A,N/A
E. coli,National,ENG, England,England,England,2019,11,No information,0,N/A,N/A
E. coli,National,ENG, England,England,England,2019,12,No information,0,N/A,N/A
E. coli,National,ENG, England,England,England,2020,1,No information,0,N/A,N/A
E. coli,National,ENG, England,England,England,2020,2,No information,0,N/A,N/A
E. coli,National,ENG, England,England,England,2020,3,No information,0,N/A,N/A
E. coli,National,ENG, England,England,England,2019,4,Unknown 3 months,14,N/A,N/A
E. coli,National,ENG, England,England,England,2019,5,Unknown 3 months,9,N/A,N/A
E. coli,National,ENG, England,England,England,2019,6,Unknown 3 months,5,N/A,N/A
E. coli,National,ENG, England,England,England,2019,7,Unknown 3 months,9,N/A,N/A
E. coli,National,ENG, England,England,England,2019,8,Unknown 3 months,8,N/A,N/A
E. coli,National,ENG, England,England,England,2019,9,Unknown 3 months,16,N/A,N/A
E. coli,National,ENG, England,England,England,2019,10,Unknown 3 months,85,N/A,N/A
E. coli,National,ENG, England,England,England,2019,11,Unknown 3 months,89,N/A,N/A
E. coli,National,ENG, England,England,England,2019,12,Unknown 3 months,75,N/A,N/A
E. coli,National,ENG, England,England,England,2020,1,Unknown 3 months,59,N/A,N/A
E. coli,National,ENG, England,England,England,2020,2,Unknown 3 months,89,N/A,N/A
E. coli,National,ENG, England,England,England,2020,3,Unknown 3 months,43,N/A,N/A
E. coli,National,ENG, England,England,England,2019,4,Community-onset,2931,N/A,N/A
E. coli,National,ENG, England,England,England,2019,5,Community-onset,3107,N/A,N/A
E. coli,National,ENG, England,England,England,2019,6,Community-onset,3003,N/A,N/A
E. coli,National,ENG, England,England,England,2019,7,Community-onset,3275,N/A,N/A
E. coli,National,ENG, England,England,England,2019,8,Community-onset,3488,N/A,N/A
E. coli,National,ENG, England,England,England,2019,9,Community-onset,3032,N/A,N/A
E. coli,National,ENG, England,England,England,2019,10,Community-onset,3090,N/A,N/A
E. coli,National,ENG, England,England,England,2019,11,Community-onset,2805,N/A,N/A
E. coli,National,ENG, England,England,England,2019,12,Community-onset,2795,N/A,N/A
E. coli,National,ENG, England,England,England,2020,1,Community-onset,2940,N/A,N/A
E. coli,National,ENG, England,England,England,2020,2,Community-onset,2645,N/A,N/A
