Collection,Organisation type,Organisation code,Organisation name,PHE Centre,STP,Year,Month,Metric,Figure,Data signed off,Data changed since last publication?
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,5,Community-onset,14,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,5,"Community-onset, community associated",8,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,5,"Community-onset, healthcare associated",5,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,5,"Community-onset, indeterminate association",0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,5,Hospital-onset,1,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,5,"Hospital-onset, healthcare associated",1,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,5,No information,1,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,5,Total cases,15,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,5,Unknown 3 months,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,6,Community-onset,9,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,6,"Community-onset, community associated",7,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,6,"Community-onset, healthcare associated",2,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,6,"Community-onset, indeterminate association",0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,6,Hospital-onset,5,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,6,"Hospital-onset, healthcare associated",5,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,6,No information,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,6,Total cases,14,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,6,Unknown 3 months,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,7,Community-onset,10,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,7,"Community-onset, community associated",9,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,7,"Community-onset, healthcare associated",1,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,7,"Community-onset, indeterminate association",0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,7,Hospital-onset,2,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,7,"Hospital-onset, healthcare associated",2,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,7,No information,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,7,Total cases,12,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,7,Unknown 3 months,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,8,Community-onset,4,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,8,"Community-onset, community associated",1,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,8,"Community-onset, healthcare associated",3,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,8,"Community-onset, indeterminate association",0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,8,Hospital-onset,1,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,8,"Hospital-onset, healthcare associated",1,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,8,No information,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,8,Total cases,5,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,8,Unknown 3 months,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,9,Community-onset,5,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,9,"Community-onset, community associated",4,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,9,"Community-onset, healthcare associated",0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,9,"Community-onset, indeterminate association",0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,9,Hospital-onset,5,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,9,"Hospital-onset, healthcare associated",5,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,9,No information,1,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,9,Total cases,10,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,9,Unknown 3 months,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,10,Community-onset,8,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,10,"Community-onset, community associated",3,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,10,"Community-onset, healthcare associated",5,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,10,"Community-onset, indeterminate association",0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,10,Hospital-onset,3,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,10,"Hospital-onset, healthcare associated",3,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,10,No information,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,10,Total cases,11,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,10,Unknown 3 months,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,11,Community-onset,5,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,11,"Community-onset, community associated",3,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,11,"Community-onset, healthcare associated",2,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,11,"Community-onset, indeterminate association",0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,11,Hospital-onset,1,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,11,"Hospital-onset, healthcare associated",1,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,11,No information,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,11,Total cases,6,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,11,Unknown 3 months,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,12,Community-onset,8,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,12,"Community-onset, community associated",7,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,12,"Community-onset, healthcare associated",1,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,12,"Community-onset, indeterminate association",0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,12,Hospital-onset,1,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,12,"Hospital-onset, healthcare associated",1,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,12,No information,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,12,Total cases,9,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2019,12,Unknown 3 months,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,1,Community-onset,8,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,1,"Community-onset, community associated",7,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,1,"Community-onset, healthcare associated",1,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,1,"Community-onset, indeterminate association",0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,1,Hospital-onset,3,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,1,"Hospital-onset, healthcare associated",3,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,1,No information,0,N/A,No
E. coli,CCG,07L, Barking and Dagenham,London,East London Health and Care Partnership,2020,1,Total cases,11,N/A,No
