Trust Code,Trust Type,PHE Centre,Trust Name,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Trust Name
REM,FT,North West,Aintree University Hospital,25,30,24,18,26,23,23,19,31,28,26,25,26, Aintree University Hospital
RCF,FT,Yorkshire and Humber,Airedale,7,13,11,13,13,12,16,13,14,12,5,16,12, Airedale
RBS,FT,North West,Alder Hey Children's,1,0,2,6,5,0,1,2,2,4,1,1,2, Alder Hey Children's
RTK,FT,South East,Ashford & St Peter's Hospitals,23,21,17,10,17,16,21,28,28,28,17,28,30, Ashford & St Peter's Hospitals
RF4,--,London,"Barking, Havering & Redbridge University Hospitals",26,39,31,32,40,33,42,43,39,37,40,45,17," Barking, Havering & Redbridge University Hospitals"
RFF,FT,Yorkshire and Humber,Barnsley Hospital,14,18,16,14,16,12,11,15,17,13,17,20,16, Barnsley Hospital
R1H,--,London,Barts Health,56,56,52,65,73,54,69,55,56,64,56,52,53, Barts Health
RDD,FT,East of England,Basildon & Thurrock University Hospitals,29,21,11,17,21,18,22,19,16,23,33,30,23, Basildon & Thurrock University Hospitals
RC1,--,East of England,Bedford Hospital,16,16,13,12,16,12,12,12,13,15,11,18,11, Bedford Hospital
RQ3,FT,West Midlands,Birmingham Women's and Children's1,4,4,4,0,7,2,8,3,6,4,1,7,2,Birmingham Women's and Children's1
RXL,FT,North West,Blackpool Teaching Hospitals,23,16,24,29,28,21,21,22,32,19,24,22,28, Blackpool Teaching Hospitals
RMC,FT,North West,Bolton,19,29,22,22,24,24,21,25,32,26,22,23,24, Bolton
RAE,FT,Yorkshire and Humber,Bradford Teaching Hospitals,25,18,19,15,16,14,15,17,21,23,28,20,23, Bradford Teaching Hospitals
RXH,--,South East,Brighton & Sussex University Hospitals,23,24,17,19,22,22,20,34,37,33,26,21,26, Brighton & Sussex University Hospitals
RXQ,--,South East,Buckinghamshire Healthcare,26,17,17,18,18,17,14,19,18,25,26,21,24, Buckinghamshire Healthcare
RJF,FT,West Midlands,Burton Hospitals,14,5,9,7,13,8,11,14,8,7,10,7,8, Burton Hospitals
