Collection,Organisation type,Organisation code,Organisation name,PHE Centre,STP,Region name,Year,Month,Metric,Figure,Data signed off,Data changed since last publication?
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,10,Hospital-onset,1,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,10,"Community-onset, community associated",12,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,9,Unknown 3 months,0,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,6,"Hospital-onset, healthcare associated",3,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,4,Total cases,25,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,11,Total cases,21,N/A,N/A
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,9,Hospital-onset,11,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,11,No information,0,N/A,N/A
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,6,Unknown 3 months,0,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,4,"Community-onset, community associated",16,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2020,11,Total cases,20,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,8,Total cases,24,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,7,"Hospital-onset, healthcare associated",7,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,11,"Hospital-onset, healthcare associated",3,N/A,N/A
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,7,Total cases,23,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,1,"Community-onset, community associated",18,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,1,Total cases,30,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,2,Total cases,22,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2020,12,"Hospital-onset, healthcare associated",4,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,5,Hospital-onset,7,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,8,"Community-onset, healthcare associated",6,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2020,12,Total cases,24,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2020,11,"Hospital-onset, healthcare associated",2,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2020,11,No information,0,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,5,No information,0,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,2,Unknown 3 months,0,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,5,"Hospital-onset, healthcare associated",7,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,3,Unknown 3 months,0,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,3,Hospital-onset,5,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,1,Hospital-onset,2,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,5,Unknown 3 months,0,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,6,No information,0,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,1,No information,0,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,3,"Community-onset, healthcare associated",4,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,3,"Community-onset, community associated",16,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,10,"Hospital-onset, healthcare associated",1,N/A,No
E. coli,CCG,00L, Northumberland,North East,Cumbria and North East STP,North East and Yorkshire,2021,6,Community-onset,19,N/A,No
