Trust Code,Trust Type,PHE Centre,Trust Name,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18
REM,FT,North West,Aintree University Hospital,26,25,26,21,24,22,25,26,30,35,35,27,33
RCF,FT,Yorkshire and Humber,Airedale,5,16,12,8,17,10,20,24,12,14,10,17,11
RBS,FT,North West,Alder Hey Children's,1,1,2,1,4,3,1,2,2,1,1,1,2
RTK,FT,South East,Ashford & St Peter's Hospitals,16,27,30,25,15,15,13,14,17,26,18,21,22
RF4,--,London,"Barking, Havering & Redbridge University Hospitals",40,47,44,35,45,44,42,29,50,40,50,37,32
RFF,FT,Yorkshire and Humber,Barnsley Hospital,17,20,16,16,13,17,14,18,9,22,23,15,16
R1H,--,London,Barts Health,56,52,53,66,47,45,68,47,62,62,56,62,59
RDD,FT,East of England,Basildon & Thurrock University Hospitals,33,30,23,25,13,21,22,22,22,22,33,29,26
RC1,--,East of England,Bedford Hospital,11,18,11,14,13,17,18,12,10,11,17,22,20
RQ3,FT,West Midlands,Birmingham Women's and Children's,1,7,2,8,1,1,2,4,3,2,2,2,3
RXL,FT,North West,Blackpool Teaching Hospitals,24,22,28,24,22,18,17,24,25,27,19,31,28
RMC,FT,North West,Bolton,22,23,24,26,25,22,20,28,17,31,23,34,29
RAE,FT,Yorkshire and Humber,Bradford Teaching Hospitals,28,20,23,24,20,26,34,20,24,22,31,30,30
RXH,--,South East,Brighton & Sussex University Hospitals,26,21,26,23,22,18,30,26,19,19,28,22,23
RXQ,--,South East,Buckinghamshire Healthcare,26,21,24,16,16,15,19,23,20,25,21,17,13
RJF,FT,West Midlands,Burton Hospitals,10,7,8,15,4,15,10,11,12,7,7,13,21
RWY,FT,Yorkshire and Humber,Calderdale & Huddersfield,37,27,31,21,25,22,25,27,25,23,32,34,27
RGT,FT,East of England,Cambridge University Hospitals,30,31,30,26,32,19,28,25,33,35,31,43,31
RQM,FT,London,Chelsea & Westminster Hospital,27,31,36,31,28,23,31,34,26,31,34,33,35
RFS,FT,East Midlands,Chesterfield Royal Hospital,30,28,22,21,26,19,21,19,28,15,28,31,28
RLN,FT,North East,City Hospitals Sunderland,27,24,25,26,28,26,23,31,25,24,24,33,22
RDE,FT,East of England,Colchester Hospital University,28,28,27,16,19,24,26,28,25,30,24,26,27
RJR,FT,North West,Countess of Chester Hospital,13,24,15,12,20,16,13,13,19,15,21,25,15
RXP,FT,North East,County Durham & Darlington,25,25,34,25,30,12,35,33,38,36,29,33,38
RJ6,--,London,Croydon Health Services,25,22,21,21,13,19,15,18,16,20,13,18,15
RN7,--,South East,Dartford & Gravesham,23,18,25,18,17,18,25,20,17,22,25,21,17
RTG,FT,East Midlands,Derby Teaching Hospitals,31,35,42,62,38,28,45,35,30,40,44,44,60
RP5,FT,Yorkshire and Humber,Doncaster & Bassetlaw Hospitals,32,20,23,31,27,30,22,27,26,35,39,27,31
RBD,FT,South West,Dorset County Hospital,6,17,10,12,18,10,7,8,15,20,16,11,8
RWH,--,East of England,East & North Hertfordshire,29,24,14,10,21,32,17,20,10,21,22,32,33
RJN,--,North West,East Cheshire,15,11,12,7,10,11,8,9,7,6,13,11,12
RVV,FT,South East,East Kent Hospitals University,56,46,55,43,49,34,51,41,52,40,54,47,52
RXR,--,North West,East Lancashire Hospitals,28,27,30,31,21,23,38,35,37,36,35,36,37
RXC,--,South East,East Sussex Healthcare,35,29,32,30,28,17,29,26,35,28,33,32,38
RVR,--,London,Epsom & St Helier University Hospitals,15,22,20,24,25,28,20,21,32,23,33,24,24
RDU,FT,South East,Frimley Health,57,73,63,58,64,34,54,49,61,59,47,72,55
RR7,FT,North East,Gateshead Health,23,21,18,23,18,14,19,23,26,24,23,25,29
RLT,--,West Midlands,George Eliot Hospital,9,12,7,12,7,13,12,11,14,12,14,24,14
RTE,FT,South West,Gloucestershire Hospitals,16,27,28,25,23,18,18,17,15,24,23,28,32
